unitUIID	sortUI	file	fileVerFlags	unitSound	tilesetSpecific	name	unitClass	special	campaign	inEditor	hiddenInEditor	hostilePal	dropItems	nbmmIcon	useClickHelper	hideHeroBar	hideHeroMinimap	hideHeroDeathMsg	hideOnMinimap	blend	scale	legacyScale	scaleBull	maxPitch	maxRoll	elevPts	elevRad	fogRad	walk	run	selZ	weap1	weap2	teamColor	customTeamColor	armor	modelScale	legacyModelScale	red	green	blue	uberSplat	unitShadow	buildingShadow	shadowW	shadowH	shadowX	shadowY	shadowOnWater	selCircOnWater	occH	InBeta
hgyr	a2	units\human\Gyrocopter\Gyrocopter	2	Gyrocopter	0	flyingmachine	HUnit07	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	33	25	2	50	0	200	200	230	_	_	-1	0	Metal	1	1	255	255	255	_	ShadowFlyer	_	160	160	80	80	1	0	0	1
hkni	a2	units\human\Knight\Knight	0	Knight	0	knight	HUnit03	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.4	1.4	1	45	10	-	30	0	380	380	0	MetalMediumSlice	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	190	190	75	75	1	0	0	1
hmil	a2	units\human\Militia\Militia	0	Peasant	0	militia	HUnit13	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	150	150	0	MetalLightChop	AxeMediumChop	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	100	100	40	40	1	0	0	1
hmpr	a2	units\human\Priest\Priest	2	Priest	0	priest	HUnit09	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	50	0	185	185	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	120	120	50	50	1	0	0	1
hmtm	a2	units\human\MortarTeam\MortarTeam	0	MortarTeam	0	mortarteam	HUnit05	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.3	1.3	1	10	10	-	30	0	180	180	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	160	160	60	60	1	0	0	1
hmtt	a2	units\human\WarWagon\WarWagon	2	SteamTank	0	siegeengine	HUnit11	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	45	45	3	50	0	200	200	0	MetalHeavyBash	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	300	300	120	120	1	0	0	1
hpea	a2	units\human\Peasant\Peasant	0	Peasant	0	peasant	HUnit01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	150	150	0	MetalLightChop	AxeMediumChop	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	100	100	40	40	1	0	0	1
hphx	a2	units\human\phoenix\phoenix	0	Phoenix	0	phoenix	HUnit21	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	33	25	2	50	0	200	200	230	_	_	-1	0	Flesh	1	1	255	255	255	_	ShadowFlyer	_	200	200	100	100	1	0	0	1
hpxe	a2	units\human\phoenix\phoenix	0	PhoenixEgg	0	phoenixegg		1	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1.25	1.25	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
hrif	a2	units\human\Rifleman\Rifleman	0	Rifleman	0	rifleman	HUnit04	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	240	240	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	120	120	50	50	1	0	0	1
hrtt	a2	units\human\WarWagon\WarWagon	2	SteamTank	0	rocketengine	HUnit12	1	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	45	45	3	50	0	200	200	0	MetalHeavyBash	_	-1	0	Metal	1	1	255	255	255	_	Shadow	_	300	300	120	120	1	0	0	1
hsor	a2	units\human\Sorceress\Sorceress	2	Sorceress	0	sorceress	HUnit10	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	100	100	45	45	1	0	0	1
hspt	a2	units\human\BloodElfSpellThief\BloodElfSpellThief	0	SpellBreaker	0	spellbreaker	HUnit14	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.2	1.2	1	10	10	-	20	0	300	300	0	MetalMediumSlice	_	-1	0	Flesh	0.8	0.8	255	255	255	_	Shadow	_	140	140	50	50	1	0	0	1
hwat	a2	units\human\WaterElemental\WaterElemental	0	WaterElemental	0	waterelemental1	HUnit16	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.6	1.6	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	0.9	0.9	255	255	255	_	Shadow	_	200	200	80	80	1	0	0	1
hwt2	a2	units\human\WaterElemental\WaterElemental	0	WaterElemental	0	waterelemental2	HUnit17	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.6	1.6	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.1	1.1	255	192	255	_	Shadow	_	200	200	80	80	1	0	0	1
hwt3	a2	units\human\WaterElemental\WaterElemental	0	WaterElemental	0	waterelemental3	HUnit18	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.6	1.6	1	10	10	-	50	0	200	200	0	_	_	-1	0	Flesh	1.3	1.3	192	255	255	_	Shadow	_	200	200	80	80	1	0	0	1
halt	a3	buildings\human\AltarofKings\AltarofKings	0	AltarofKings	0	altarofkings	HBuilding05	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4	4	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowAltarofKings					1	0	0	1
harm	a3	buildings\human\Workshop\Workshop	0	Workshop	0	workshop	HBuilding09	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4.25	4.25	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowArmory					1	0	0	1
hars	a3	buildings\human\ArcaneSanctum\ArcaneSanctum	0	ArcaneSanctum	0	arcanesanctum	HBuilding10	0	0	1	0	-	1	-	0	0	0	0	0	0.15	3.75	3.75	1	7	7	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	HMED	_	ShadowArcaneSanctum					1	0	0	1
hatw	a3	buildings\human\HumanTower\HumanTower	0	ArcaneTower	0	humanarcanetower	HBuilding15	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HSMA	_	ShadowGuardTower					1	0	0	1
hbar	a3	buildings\human\HumanBarracks\HumanBarracks	0	HumanBarracks	0	humanbarracks	HBuilding06	0	0	1	0	-	1	-	0	0	0	0	0	0.15	5	5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	HMED	_	ShadowHumanBarracks					1	0	0	1
hbla	a3	buildings\human\Blacksmith\Blacksmith	0	Blacksmith	0	blacksmith	HBuilding08	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4	4	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowBlacksmith					1	0	0	1
hcas	a3	buildings\human\TownHall\TownHall	0	Castle	1	castle	HBuilding03	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.3	6.3	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HCAS	_	ShadowCastle					1	0	0	1
hctw	a3	buildings\human\HumanTower\HumanTower	0	CannonTower	0	cannontower	HBuilding14	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HSMA	_	ShadowCannonTower					1	0	0	1
hgra	a3	buildings\human\GryphonAviary\GryphonAviary	0	GryphonAviary	0	gryphonaviary	HBuilding11	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4	4	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowGryphonAviary					1	0	0	1
hgtw	a3	buildings\human\HumanTower\HumanTower	0	GuardTower	0	guardtower	HBuilding13	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HSMA	_	ShadowGuardTower					1	0	0	1
hhou	a3	buildings\human\Farm\Farm	0	Farm	0	farm	HBuilding04	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	15	15	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HSMA	_	ShadowHouse					1	0	0	1
hkee	a3	buildings\human\TownHall\TownHall	0	Keep	1	keep	HBuilding02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.3	6.3	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HTOW	_	ShadowKeep					1	0	0	1
hlum	a3	buildings\human\HumanLumbermill\HumanLumbermill	0	HumanLumberMill	0	humanlumbermill	HBuilding07	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4.25	4.25	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowHumanLumberMill					1	0	0	1
hshy	a3	buildings\human\HumanShipyard\HumanShipyard	0	GoblinShipyard	0	humanshipyard		0	1	1	0	-	1	-	0	0	0	0	0	0.15	5	5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	HMED	_	ShadowHumanShipyard					1	0	0	0
htow	a3	buildings\human\TownHall\TownHall	0	TownHall	1	townhall	HBuilding01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.3	6.3	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HTOW	_	ShadowTownhall					1	0	0	1
hvlt	a3	buildings\human\ArcaneVault\ArcaneVault	0	ArcaneVault	0	arcanevault	HBuilding16	0	0	1	0	0	1	-	0	0	0	0	0	0.15	4.5	4.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HMED	_	ShadowArcaneVault					1	0	0	1
hwtw	a3	buildings\human\HumanTower\HumanTower	0	ScoutTower	0	scouttower	HBuilding12	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	HSMA	_	BuildingShadowSmall					1	0	0	1
Obla	b1	units\orc\HeroBladeMaster\HeroBladeMaster	0	HeroBladeMaster	0	blademaster	OHero01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.25	1.25	1	10	10	-	30	0	290	290	0	MetalHeavySlice	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	160	160	60	60	1	0	0	1
Ofar	b1	units\orc\HeroFarSeer\HeroFarSeer	0	HeroFarSeer	0	farseer	OHero02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2	2	1	45	10	-	50	0	260	260	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	200	200	75	75	1	0	0	1
Oshd	b1	units\orc\HeroShadowHunter\HeroShadowHunter	0	HeroShadowHunter	0	shadowhunter	OHero07	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.2	1.2	1	45	10	-	30	0	300	300	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	200	200	85	85	1	0	0	1
Otch	b1	units\orc\HeroTaurenChieftain\HeroTaurenChieftain	0	HeroTaurenChieftain	0	taurenchieftain	OHero03	0	0	1	0	-	1	-	0	0	0	0	0	0.3	2	2	1	10	10	-	50	0	180	180	0	MetalHeavyChop	_	-1	0	Flesh	1.1	1.1	255	255	255	_	Shadow	_	230	230	75	75	1	0	0	1
nwad	b2	units\orc\WatcherWard\WatcherWard	0	SentryWard	0	watcherward	OUnit12	1	0	0	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
obot	b2	units\creeps\OrcishTransportShip\OrcishTransportShip	0	Boat	0	orcishtransportship	boat	0	1	1	0	-	1	-	0	0	0	0	0	0.15	3	3	1	0	0	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	200	200	90	90	1	1	0	0
ocat	b2	units\orc\catapult\catapult	2	Catapult	0	demolisher	OUnit06	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.75	2.75	1	45	45	4	50	0	185	185	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	280	280	110	110	1	0	0	1
odes	b2	units\creeps\OrcishDestroyerShip\OrcishDestroyerShip	0	Boat	0	orcishdestroyer	boat	0	1	1	0	-	1	-	0	0	0	0	0	0.15	3	3	1	0	0	-	50	0	240	240	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	200	200	90	90	1	1	0	0
odoc	b2	units\orc\WitchDoctor\WitchDoctor	0	WitchDoctor	0	witchdoctor	OUnit10	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
oeye	b2	units\orc\SentryWard\SentryWard	0	SentryWard	0	sentryward	OUnit12	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
ogru	b2	units\orc\Grunt\Grunt	0	Grunt	0	grunt	OUnit02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	30	0	240	240	0	MetalMediumChop	_	-1	0	Flesh	1.1	1.1	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
ohun	b2	units\orc\HeadHunter\HeadHunter	2	HeadHunter	0	headhunter	OUnit05	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.1	1.1	1	10	10	-	50	0	240	240	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
ohwd	b2	units\orc\HealingWard\HealingWard	0	HealingWard	0	healingward	OUnit17	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
okod	b2	units\orc\KotoBeast\KotoBeast	0	KotoBeast	0	kotobeast	OUnit07	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.25	2.25	1	45	10	2	50	0	100	240	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	310	280	120	120	1	0	0	1
opeo	b2	units\orc\Peon\Peon	0	Peon	0	peon	OUnit01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1	1	1	10	10	-	20	0	180	180	0	MetalLightChop	AxeMediumChop	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	120	120	50	50	1	0	0	1
orai	b2	units\orc\WolfRider\WolfRider	0	WolfRider	0	wolfrider	OUnit03	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.6	1.6	1	45	10	-	30	0	360	360	0	MetalMediumSlice	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	190	190	75	75	1	0	0	1
oshm	b2	units\orc\Shaman\Shaman	0	Shaman	0	shaman	OUnit11	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.15	1.15	1	10	10	-	20	0	275	275	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	150	150	60	60	1	0	0	1
osp1	b2	units\orc\SerpentWard\SerpentWard	0		0	serpentward1	OUnit21	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
osp2	b2	units\orc\SerpentWard\SerpentWard	0		0	serpentward2	OUnit22	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
osp3	b2	units\orc\SerpentWard\SerpentWard	0		0	serpentward3	OUnit23	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
osp4	b2	units\orc\SerpentWard\SerpentWard	0		0	serpentward4	OUnit23	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
ospm	b2	units\orc\spiritwalker\spiritwalker	0	SpiritWalker	0	spiritwalkermorph	OUnit25	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.15	1.15	1	10	10	-	50	0	275	275	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	190	190	80	80	1	0	0	1
ospw	b2	units\orc\spiritwalker\spiritwalker	0	SpiritWalker	0	spiritwalker	OUnit24	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.15	1.15	1	10	10	-	50	0	180	180	0	_	_	-1	0	Flesh	1	1	255	255	255	_	Shadow	_	190	190	80	80	1	0	0	1
osw1	b2	units\orc\Spiritwolf\Spiritwolf	0	SpiritWolf	0	spiritwolf1	OUnit14	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.25	1.25	1	45	10	-	50	0	240	240	0	MetalMediumChop	_	-1	0	Flesh	0.9	0.9	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
osw2	b2	units\orc\Spiritwolf\Spiritwolf	0	SpiritWolf	0	spiritwolf2	OUnit15	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.5	1.5	1	45	10	-	50	0	240	240	0	MetalMediumChop	_	-1	0	Flesh	1.1	1.1	170	170	255	_	Shadow	_	140	140	60	60	1	0	0	1
osw3	b2	units\orc\Spiritwolf\Spiritwolf	0	SpiritWolf	0	spiritwolf3	OUnit16	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.75	1.75	1	45	10	-	50	0	240	240	0	MetalMediumChop	_	-1	0	Flesh	1.3	1.3	255	170	170	_	Shadow	_	140	140	60	60	1	0	0	1
otau	b2	units\orc\Tauren\Tauren	0	Tauren	0	tauren	OUnit04	0	0	1	0	-	1	-	0	0	0	0	0	0.3	1.6	1.6	1	10	10	-	50	0	240	240	0	WoodHeavyBash	_	-1	0	Flesh	1.1	1.1	255	255	255	_	Shadow	_	190	190	80	80	1	0	0	1
otbk	b2	units\orc\HeadHunter\HeadHunter	2	HeadHunter	0	berserker	OUnit26	1	0	1	0	-	1	-	0	0	0	0	0	0.15	1.1	1.1	1	10	10	-	50	0	240	240	0	_	_	-1	0	Flesh	1.15	1.15	255	255	255	_	Shadow	_	140	140	60	60	1	0	0	1
otbr	b2	units\orc\BatTroll\BatTroll	0	TrollBatrider	0	trollbatrider	OUnit09	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	25	2	50	0	200	200	230	_	_	-1	0	Flesh	1	1	255	255	255	_	ShadowFlyer	_	180	180	90	90	1	0	0	1
otot	b2	units\orc\StasisTotem\StasisTotem	0	StasisTotem	0	stasistraptotem	OUnit13	1	0	1	0	-	1	-	0	0	0	0	0	0.15	0.75	0.75	1	25	25	-	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	_	Shadow	_	70	70	25	25	1	0	0	1
owyv	b2	units\orc\WyvernRider\WyvernRider	0	WyvernRider	0	windrider	OUnit08	0	0	1	0	-	1	-	0	0	0	0	0	0.15	1.75	1.75	1	33	0	2	100	0	200	200	230	_	_	-1	0	Flesh	1	1	255	255	255	_	ShadowFlyer	_	180	180	90	90	1	0	0	1
oalt	b3	buildings\orc\AltarofStorms\AltarofStorms	0	AltarofStorms	0	altarofstorms	OBuilding04	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4.5	4.5	1	7	7	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	OMED	_	ShadowAltarofStorms					1	0	0	1
obar	b3	buildings\orc\OrcBarracks\OrcBarracks	0	OrcBarracks	0	orcbarracks	OBuilding05	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4.5	4.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowOrcBarracks					1	0	0	1
obea	b3	buildings\orc\Beastiary\Beastiary	0	Beastiary	0	beastiary	OBuilding09	0	0	1	0	-	1	-	0	0	0	0	0	0.15	4.5	4.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowBeastiary					1	0	0	1
ofor	b3	buildings\orc\WarMill\WarMill	0	WarMill	0	warmill	OBuilding06	0	0	1	0	-	1	-	0	0	0	0	0	0.15	3.5	3.5	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowForge					1	0	0	1
ofrt	b3	buildings\orc\GreatHall\GreatHall	0	Fortress	0	fortress	OBuilding03	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.6	6.6	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OLAR	_	ShadowFortress					1	0	0	1
ogre	b3	buildings\orc\GreatHall\GreatHall	0	GreatHall	0	greathall	OBuilding01	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.6	6.6	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OLAR	_	ShadowGreatHall					1	0	0	1
oshy	b3	buildings\other\GoblinShipyard\GoblinShipyard	0	GoblinShipyard	0	orcshipyard		0	1	1	0	-	1	-	0	0	0	0	0	0.15	5	5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	OSMA	_	ShadowGoblinShipyard					1	0	0	0
osld	b3	buildings\orc\SpiritLodge\SpiritLodge	0	SpiritLodge	0	spiritlodge	OBuilding08	0	0	1	0	-	1	-	0	0	0	0	0	0.15	3.5	3.5	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowSpiritLodge					1	0	0	1
ostr	b3	buildings\orc\GreatHall\GreatHall	0	Stronghold	0	stronghold	OBuilding02	0	0	1	0	-	1	-	0	0	0	0	0	0.15	6.6	6.6	1	0	0	4	50	0	200	200	0	_	_	-1	0	Stone	1	1	255	255	255	OLAR	_	ShadowStronghold					1	0	0	1
otrb	b3	buildings\orc\TrollBurrow\TrollBurrow	0	TrollBurrow	0	trollburrow	OBuilding10	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.75	2.75	1	15	15	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OSMA	_	ShadowTrollBurrow					1	0	0	1
otto	b3	buildings\orc\TaurenTotem\TaurenTotem	0	TaurenTotem	0	taurentotem	OBuilding07	0	0	1	0	-	1	-	0	0	0	0	0	0.15	3.25	3.25	1	7	7	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowTaurenTotem					1	0	0	1
ovln	b3	buildings\orc\VoodooLounge\VoodooLounge	0	VoodooLounge	0	voodoolounge	OBuilding12	0	0	1	0	0	1	-	0	0	0	0	0	0.01	4.5	4.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OMED	_	ShadowGoblinMerchant					1	0	0	1
owtw	b3	buildings\orc\WatchTower\WatchTower	0	WatchTower	0	watchtower	OBuilding11	0	0	1	0	-	1	-	0	0	0	0	0	0.15	2.5	2.5	1	0	0	4	50	0	200	200	0	_	_	-1	0	Wood	1	1	255	255	255	OSMA	_	ShadowGuardTower					1	0	0	1
