unitWeaponID	sortWeap	sort2	comment(s)	weapsOn	acquire	minRange	castpt	castbsw	launchX	launchY	launchZ	launchSwimZ	impactZ	impactSwimZ	weapType1	targs1	showUI1	rangeN1	RngTst	RngBuff1	atkType1	weapTp1	cool1	mincool1	dice1	sides1	dmgplus1	dmgUp1	mindmg1	avgdmg1	maxdmg1	dmgpt1	backSw1	Farea1	Harea1	Qarea1	Hfact1	Qfact1	splashTargs1	targCount1	damageLoss1	spillDist1	spillRadius1	DmgUpg	dmod1	DPS	weapType2	targs2	showUI2	rangeN2	RngTst2	RngBuff2	atkType2	weapTp2	cool2	mincool2	dice2	sides2	dmgplus2	dmgUp2	mindmg2	avgdmg2	maxdmg2	dmgpt2	backSw2	Farea2	Harea2	Qarea2	Hfact2	Qfact2	splashTargs2	targCount2	damageLoss2	spillDist2	spillRadius2	InBeta
hgyr	a2	fly1	Flying Machine	1	500	-	0.3	0.51	0	0	60	0	60	0	_	air	1	500	-	250	pierce	instant	2	-	1	2	17	-	18	18.5	19	0.03	0.97	 - 	 - 	 - 	-	-	_	1	0	0	0	high	11	9.25	_	ground,structure,debris,item,ward	1	100	-	125	siege	missile	2.5	-	1	2	6	-	7	7.5	8	0.633	0.7	-	-	-	-	-	_	1	0	0	0	1
hkni	a2	me2	Knight	1	500	-	0.3	0.51	0	0	60	0	60	0	MetalMediumSlice	ground,structure,debris,item,ward	1	100	-	300	normal	normal	1.4	-	2	5	28	-	30	34	38	0.66	0.44	 - 	 - 	 - 	-	-	_	1	0	0	0	high	19	24.2857142857143	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hmil	a2	me1	Militia	1	500	-	0.3	0.51	0	0	60	0	60	0	MetalMediumSlice	ground,structure,debris,item,ward	1	90	-	250	normal	normal	1.2	-	1	2	11	-	12	12.5	13	0.39	0.44	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	10.4166666666667	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hmpr	a2	cas	Priest	1	600	-	0.5	0.67	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	magic	missile	2	-	1	2	7	-	8	8.5	9	0.59	0.58	 - 	 - 	 - 	-	-	_	1	0	0	0	low	11	4.25	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hmtm	a2	art	MortarTeam	3	1150	250	1.1	0.9	30	25	0	0	60	0	_	ground,debris,tree,wall,item,ward	1	1150	-	250	siege	artillery	3.5	-	1	13	51	-	52	58	64	1	1.1	25	100	200	0.4	0.1	ground,structure,debris,tree,wall	1	0	0	0	-	-	16.5714285714286	_	structure	1	1150	-	250	siege	missile	3.5	-	1	13	51	-	52	58	64	1	1.1	-	-	-	-	-	_	1	0	0	0	1
hmtt	a2	art	Siege Engine	1	500	-	0.3	0.51	0	0	60	0	80	0	_	structure,debris	1	192	-	250	siege	instant	2.1	-	1	11	44	-	45	50	55	0.5	0.5	 - 	-	-	-	-	_	1	0	0	0	-	-	23.8095238095238	_	air	1	500	-	250	pierce	missile	2	-	1	2	14	11	15	15.5	16	0.5	0.5	-	 - 	 - 	 - 	-	_	1	0	0	0	1
hpea	a2	peo	Peasant	3	500	-	0.3	0.51	0	0	60	0	60	0	MetalLightChop	ground,structure,debris,item,ward	1	90	-	250	normal	normal	2	-	1	2	4	-	5	5.5	6	0.433	0.567	 - 	 - 	 - 	-	-	_	1	0	0	0	low	11	2.75	AxeMediumChop	tree	1	66	-	120	normal	normal	1.1	-	1	1	0	-	1	1	1	0.433	0.433	-	-	-	-	-	_	1	0	0	0	1
hphx	a2	fly2	phoenix	1	600	-	0.3	0.5	0	0	20	0	20	0	_	ground,structure,debris,air,item,ward	1	600	-	250	magic	msplash	1.4	-	1	15	60	-	61	68	75	0.43	0.633	25	66	125	0.5	0.25	ground,structure,debris,air,enemy	1	0	0	0	-	59	48.5714285714286	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hpxe	a2	zz	phoenix egg	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hrif	a2	ran	Rifleman	1	600	-	0.3	0.51	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	400	-	250	pierce	instant	1.35	-	2	4	16	-	18	21	24	0.17	0.7	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	15.5555555555556	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hrtt	a2	art	siege engine upgraded	3	500	-	0.3	0.51	0	-60	100	0	80	0	_	structure,debris	1	192	-	250	siege	instant	2.1	-	1	11	44	-	45	50	55	0.5	0.5	 - 	-	-	-	-	_	1	0	0	0	-	-	23.8095238095238	_	air	1	500	-	250	pierce	missile	2	-	1	2	14	11	15	15.5	16	0.125	0.875	-	 - 	 - 	 - 	-	_	1	0	0	0	1
hsor	a2	cas	Sorceress	1	700	-	0.45	1.08	0	0	85	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	magic	missile	1.75	-	1	3	9	-	10	11	12	0.75	0.78	 - 	 - 	 - 	-	-	_	1	0	0	0	low	15	6.28571428571429	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hspt	a2	me1	Spell Breaker	1	700	-	0.3	0.51	0	0	60	0	60	0	_	ground,structure,debris,item,ward	1	250	-	250	normal	missile	1.9	-	1	3	12	-	13	14	15	0.5	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	low	15	7.36842105263158	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hwat	a2	sum	WaterElemental	1	500	-	0.3	0.51	0	0	60	0	120	0	_	ground,structure,air,debris,item,ward	1	300	-	250	pierce	missile	1.5	-	1	5	18	-	19	21	23	0.4	0.77	25	50	75	0.5	0.25	enemy,ground	1	0	0	0	low	22	14	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hwt2	a2	sum	WaterElemental level 2	1	500	-	0.3	0.51	0	0	60	0	120	0	_	ground,structure,air,debris,item,ward	1	300	-	250	pierce	missile	1.5	-	2	5	31	-	33	37	41	0.4	0.77	25	50	75	0.5	0.25	enemy,ground	1	0	0	0	high	19	24.6666666666667	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hwt3	a2	sum	WaterElemental level 3	1	500	-	0.3	0.51	0	0	60	0	120	0	_	ground,structure,air,debris,item,ward	1	300	-	250	pierce	missile	1.5	-	2	5	42	-	44	48	52	0.4	0.77	25	50	75	0.5	0.25	enemy,ground	1	0	0	0	high	19	32	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
halt	a3	zz	AltarofKings	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
harm	a3	zz	Workshop	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hars	a3	zz	ArcaneSanctum	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hatw	a3	tow	Arcane Tower	1	800	-	-	0.51	0	0	245	0	120	0	_	ground,structure,debris,air,item,ward	1	800	-	250	pierce	missile	1	-	1	3	7	-	8	9	10	0.3	0.3	 - 	 - 	 - 	-	-	_	1	0	0	0	low	15	9	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hbar	a3	zz	HumanBarracks	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hbla	a3	zz	Blacksmith	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hcas	a3	zz	Castle	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hctw	a3	tow	CannonTower	3	800	-	-	0.51	0	0	160	0	120	0	_	ground,debris,tree,wall,ward,item	1	800	-	250	siege	artillery	2.5	-	1	22	89	-	90	100.5	111	0.3	0.3	50	100	125	0.5	0.1	ground,structure,debris,tree,wall,notself	1	0	0	0	-	84	40.2	_	structure	1	800	-	250	siege	missile	2.5	-	1	22	89	-	90	100.5	111	0.3	0.3	-	-	-	-	-	_	1	0	0	0	1
hgra	a3	zz	GryphonAviary	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hgtw	a3	tow	GuardTower	1	700	-	-	0.51	0	0	145	0	120	0	_	ground,structure,debris,air,item,ward	1	700	-	250	pierce	missile	0.9	-	1	5	22	-	23	25	27	0.3	0.3	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	27.7777777777778	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hhou	a3	zz	Farm	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hkee	a3	zz	Keep	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hlum	a3	zz	LumberMill	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hshy	a3	zz	human shipyard	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
htow	a3	zz	TownHall	0	-	-	-	0.51	0	0	60	0	160	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hvlt	a3	zz	Arcane Vault	0	500	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	0	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	1	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
hwtw	a3	zz	Scout Tower	0	-	-	-	0.51	0	0	60	0	120	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
Obla	b1	uher	HeroBladeMaster	1	500	-	0.3	0.51	10	40	50	0	60	0	MetalHeavySlice	ground,structure,debris,item,ward	1	100	-	250	hero	normal	1.77	-	2	12	0	-	2	13	24	0.33	0.84	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	7.34463276836158	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	1.77	-	2	12	0	-	2	13	24	0.33	0.84	-	-	-	-	-	_	1	0	0	0	1
Ofar	b1	uher	HeroFarSeer	1	600	-	0.3	1.07	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	hero	missile	2.28	-	2	4	0	-	2	5	8	0.3	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	2.19298245614035	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2.28	-	2	4	0	-	2	5	8	0.3	0.5	-	-	-	-	-	_	1	0	0	0	1
Oshd	b1	uher	HeroShadowHunter	1	600	-	0.3	1.07	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	hero	missile	2.28	-	2	4	0	-	2	5	8	0.3	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	2.19298245614035	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2.28	-	2	4	0	-	2	5	8	0.3	0.5	-	-	-	-	-	_	1	0	0	0	1
Otch	b1	uher	HeroTaurenChieftain	1	500	-	0.47	0.8	20	60	60	0	100	0	MetalHeavyChop	ground,structure,debris,item,ward	1	128	-	250	hero	normal	2.05	-	2	6	0	-	2	7	12	0.36	0.97	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	3.41463414634146	_	ground,structure,debris,air,item,ward	1	500	-	250	hero	missile	2.05	-	2	6	0	-	2	7	12	0.36	0.97	-	-	-	-	-	_	1	0	0	0	1
nwad	b2	zz	WatcherWard	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
obot	b2	zz	orc transport ship	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
ocat	b2	art	Demolisher	3	1150	250	-	0.51	0	0	60	0	60	0	_	ground,debris,tree,wall,item,ward	1	1150	-	250	siege	artillery	4.5	-	1	18	71	-	72	80.5	89	0.1	1.9	25	50	150	0.4	0.25	ground,structure,debris,tree,wall	1	0	0	0	-	70	17.8888888888889	_	structure	1	1150	-	250	siege	missile	4.5	-	1	18	71	-	72	80.5	89	0.1	1.9	-	-	-	-	-	structure	1	0	0	0	1
odes	b2	zz	orc frigate	1	650	-	-	0.51	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	normal	msplash	1.5	-	1	15	54	-	55	62	69	0.3	0.3	25	35	50	0.3	0.1	ground,structure,debris,tree,wall,enemy,neutral	1	0	0	0	-	59	41.3333333333333	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	0
odoc	b2	cas	WitchDoctor	1	600	-	0.35	0.52	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	magic	missile	1.75	-	1	5	9	-	10	12	14	0.73	0.6	 - 	 - 	 - 	-	-	_	1	0	0	0	low	22	6.85714285714286	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
oeye	b2	zz	SentryWard	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
ogru	b2	me1	Grunt	1	500	-	0.3	0.51	0	0	60	0	60	0	MetalMediumChop	ground,structure,debris,item,ward	1	100	-	250	normal	normal	1.6	-	1	4	17	-	18	19.5	21	0.33	0.64	 - 	 - 	 - 	-	-	_	1	0	0	0	-	18	12.1875	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
ohun	b2	ran	HeadHunter	1	600	-	-	0.51	-5	-34	113	0	60	0	_	ground,structure,debris,air,item,ward	1	550	-	250	pierce	missile	2.31	-	1	5	22	-	23	25	27	0.31	0.86	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	10.8225108225108	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
ohwd	b2	zz	Healing Ward	0	-	-	-	0.51	0	0	60	0	60	0	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	 - 	 - 	 - 	-	-	_	-	0	0	0	NaN	NaN	NaN	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
okod	b2	xx	KodoBeast	1	500	-	0.5	0.5	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	500	-	250	pierce	missile	1.44	-	1	5	15	-	16	18	20	0.85	0.32	 - 	 - 	 - 	-	-	_	1	0	0	0	low	22	12.5	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
opeo	b2	peo	Peon	3	500	-	0.3	0.51	0	0	60	0	45	0	MetalLightChop	ground,structure,debris,item,ward	1	90	-	250	normal	normal	3	-	1	2	6	-	7	7.5	8	0.5	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	low	11	2.5	AxeMediumChop	tree	1	66	-	120	normal	normal	1.1	-	1	1	0	-	1	1	1	0.5	0.5	-	-	-	-	-	_	1	0	0	0	1
orai	b2	me1	Raider	1	500	-	0.6	0.2	0	0	60	0	60	0	MetalMediumSlice	ground,structure,debris,item,ward	1	100	-	250	siege	normal	1.85	-	1	5	22	-	23	25	27	0.5	0.5	 - 	 - 	 - 	-	-	_	1	0	0	0	-	-	13.5135135135135	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
oshm	b2	cas	Shaman	1	600	-	0.6	1.4	0	0	60	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	magic	missile	2.1	-	1	2	9	-	10	10.5	11	0.43	0.74	 - 	 - 	 - 	-	-	_	1	0	0	0	low	11	5	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
osp1	b2	sum	Serpent Ward 1	1	600	-	-	0.51	0	0	225	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	pierce	missile	1.5	-	1	3	13	-	14	15	16	0.3	0.7	 - 	 - 	 - 	-	-	_	1	0	0	0	low	15	10	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
osp2	b2	sum	Serpent Ward 2	1	600	-	-	0.51	0	0	225	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	pierce	missile	1.5	-	1	4	26	-	27	28.5	30	0.3	0.7	 - 	 - 	 - 	-	-	_	1	0	0	0	high	18	19	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
osp3	b2	sum	Serpent Ward 3	1	600	-	-	0.51	0	0	225	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	pierce	missile	1.5	-	1	5	47	-	48	50	52	0.3	0.7	 - 	 - 	 - 	-	-	_	1	0	0	0	high	22	33.3333333333333	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
osp4	b2	sum	Serpent Ward 4	1	600	-	-	0.51	0	0	225	0	60	0	_	ground,structure,debris,air,item,ward	1	600	-	250	pierce	msplash	1.5	-	1	5	40	-	41	43	45	0.3	0.7	50	75	150	0.4	0.2	ground,air,structure,enemy	1	0	0	0	high	22	28.6666666666667	_	_	1	-	-	-	normal	_	-	-	-	-	-	-	 - 	-	 - 	-	-	-	-	-	-	-	_	1	0	0	0	1
